,Lemmatized Verb,Frequency,Synset,Status
1431,lessen,3,['subside' 'diminish' 'decrease' 'minify' 'lessen' 'fall'],valid
1432,let,4,['have' 'allow' 'rent' 'permit' 'lease' 'let' 'get' 'countenance'],valid
1433,leukemia,1,,invalid
1434,level,2,"['level_off' 'point' 'rase' 'take_down' 'pull_down' 'charge' 'level'
 'even_out' 'tear_down' 'even' 'raze' 'flush' 'dismantle']",valid
1435,leverage,14,['leverage'],valid
1436,licence,2,['license' 'certify' 'licence'],valid
1437,license,67,['license' 'certify' 'licence'],valid
1438,lie,3,['dwell' 'lie' 'lie_down' 'rest' 'consist' 'lie_in'],valid
1439,lifeÃÂÂthreatening,1,,invalid
1440,lift,1,"['sneak' 'come_up' 'abstract' 'pilfer' 'annul' 'revoke' 'uprise'
 'face-lift' 'wind' 'rescind' 'countermand' 'go_up' 'repeal' 'rise'
 'raise' 'lift' 'airlift' 'swipe' 'plagiarise' 'rear' 'get_up' 'bring_up'
 'plagiarize' 'hook' 'pinch' 'vacate' 'snarf' 'rustle' 'hoist' 'overturn'
 'purloin' 'cabbage' 'filch' 'elevate' 'nobble' 'reverse' 'move_up'
 'arise']",valid
1441,like,8,['wish' 'like' 'care'],valid
1442,limit,115,"['trammel' 'determine' 'define' 'fix' 'specify' 'confine' 'throttle'
 'circumscribe' 'limit' 'restrict' 'set' 'restrain' 'bound']",valid
1443,limitationsrestricted,1,,invalid
1444,line,1,['draw' 'delineate' 'run_along' 'trace' 'line' 'describe'],valid
1445,linger,3,"['lallygag' 'loaf' 'linger' 'lurk' 'lounge' 'hang_around' 'dawdle'
 'mill_about' 'mill_around' 'tarry' 'mess_about' 'footle' 'hover'
 'lollygag' 'loiter']",valid
1446,link,350,"['colligate' 'unite' 'link_up' 'associate' 'tie_in' 'join' 'link' 'relate'
 'connect' 'yoke' 'tie']",valid
1447,lipidkomponenten,1,,invalid
1448,liping,1,,invalid
1449,lisbon,1,,invalid
1450,list,26,['name' 'list' 'number' 'lean' 'heel'],valid
1451,literaturereturned,1,,invalid
1452,live,272,"['exist' 'dwell' 'be' 'live' 'experience' 'survive' 'know' 'last' 'endure'
 'subsist' 'inhabit' 'hold_up' 'live_on' 'go' 'hold_out' 'populate']",valid
1453,llr,1,,invalid
1454,load,14,"['stretch' 'load_up' 'laden' 'debase' 'charge' 'lade' 'load' 'adulterate'
 'dilute']",valid
1455,lobe,1,,invalid
1456,localise,5,['place' 'focalise' 'localize' 'set' 'localise' 'focalize'],valid
1457,localize,20,['place' 'focalise' 'localize' 'set' 'localise' 'focalize'],valid
1458,locate,27,['locate' 'settle' 'situate' 'turn_up' 'site' 'place'],valid
1459,lock,5,"['engage' 'interlace' 'shut_up' 'shut_away' 'lock' 'lock_away' 'operate'
 'put_away' 'lock_in' 'interlock' 'mesh' 'lock_up']",valid
1460,lockdown,2,,invalid
1461,log,2,['log' 'lumber'],valid
1462,logical,1,,invalid
1463,long,1,['hanker' 'yearn' 'long'],valid
1464,longÃÂÂlasting,2,,invalid
1465,longÃÂÂlived,1,,invalid
1466,look,30,"['appear' 'attend' 'see' 'expect' 'front' 'look' 'await' 'wait' 'bet'
 'count' 'reckon' 'search' 'face' 'calculate' 'seem' 'depend' 'take_care']",valid
1467,loose,1,"['unloosen' 'loosen' 'loose' 'liberate' 'let_loose' 'release' 'unleash'
 'unloose' 'relax' 'free']",valid
1468,loosen,1,['loosen' 'undo' 'untie' 'tease_apart' 'tease' 'relax' 'loose'],valid
1469,lose,35,"['mislay' 'fall_behind' 'misplace' 'suffer' 'turn_a_loss' 'fall_back'
 'recede' 'miss' 'lose' 'drop_off']",valid
1470,low,2,['moo' 'low'],valid
1471,lower,38,"['lour' 'get_down' 'glower' 'let_down' 'bring_down' 'lower' 'take_down'
 'depress' 'turn_down' 'frown']",valid
1472,lubricate,1,['lube' 'lubricate'],valid
1473,luciferase,1,,invalid
1474,lymphocytes,2,,invalid
1475,lyophilise,5,['lyophilize' 'lyophilise'],valid
1476,lyophilize,2,['lyophilize' 'lyophilise'],valid
1477,lysed,2,,invalid
1478,m,92,,invalid
1479,maarten,1,,invalid
1480,mace,1,,invalid
1481,machenalternate,1,,invalid
1482,magnify,1,"['overstate' 'hyperbolise' 'enlarge' 'overdraw' 'amplify' 'magnify'
 'blow_up' 'hyperbolize' 'exaggerate']",valid
1483,mail,5,['post' 'get_off' 'mail' 'send'],valid
1484,maintain,209,"['keep' 'assert' 'keep_up' 'preserve' 'conserve' 'sustain' 'asseverate'
 'observe' 'defend' 'hold' 'exert' 'maintain' 'uphold' 'wield']",valid
1485,make,287,"['nominate' 'have' 'micturate' 'pee' 'work' 'pee-pee' 'hold' 'lay_down'
 'establish' 'clear' 'ready' 'reach' 'stool' 'induce' 'piss' 'puddle'
 'name' 'pull_in' 'stimulate' 'urinate' 'spend_a_penny' 'make_water'
 'bring_in' 'pass_water' 'form' 'realize' 'seduce' 'make_believe' 'build'
 'earn' 'give' 'make_up' 'defecate' 'draw' 'cook' 'realise' 'get_to'
 'take' 'progress_to' 'shit' 'throw' 'take_in' 'gain' 'cause' 'score'
 'take_a_leak' 'produce' 'take_a_shit' 'do' 'ca-ca' 'crap' 'constitute'
 'make' 'arrive_at' 'hit' 'take_a_crap' 'attain' 'fix' 'wee' 'wee-wee'
 'piddle' 'pretend' 'create' 'relieve_oneself' 'construct' 'get' 'prepare']",valid
1486,mali,2,,invalid
1487,mammogram,1,,invalid
1488,man,1,['man'],valid
1489,manage,67,"['carry_off' 'make_do' 'handle' 'wangle' 'care' 'contend' 'negociate'
 'supervise' 'superintend' 'cope' 'do' 'finagle' 'bring_off' 'oversee'
 'grapple' 'pull_off' 'manage' 'make_out' 'deal' 'wield' 'get_by']",valid
1490,mandate,9,['mandate'],valid
1491,manifest,19,['evidence' 'attest' 'certify' 'manifest' 'demonstrate'],valid
1492,manipulate,2,"['rig' 'cook' 'control' 'manipulate' 'pull_wires' 'misrepresent' 'fake'
 'wangle' 'keep_in_line' 'falsify' 'fudge' 'pull_strings']",valid
1493,manoj,2,,invalid
1494,manufacture,16,['manufacture' 'make_up' 'cook_up' 'invent' 'construct' 'fabricate'],valid
1495,manufacturerdosing,1,,invalid
1496,map,12,['map_out' 'represent' 'map'],valid
1497,mark,51,"['label' 'tag' 'pit' 'nock' 'check_off' 'mark' 'cross_out' 'cross_off'
 'distinguish' 'notice' 'grade' 'mark_off' 'note' 'differentiate'
 'strike_out' 'stigmatize' 'tick' 'stigmatise' 'strike_off' 'punctuate'
 'denounce' 'score' 'check' 'pock' 'tick_off' 'brand' 'scar' 'commemorate'
 'set']",valid
1498,marker,1,,invalid
1499,market,10,['commercialise' 'commercialize' 'market'],valid
1500,marry,2,"['get_hitched_with' 'wed' 'marry' 'espouse' 'splice' 'get_married'
 'hook_up_with' 'tie' 'conjoin']",valid
1501,mask,71,['mask' 'cloak' 'disguise' 'block_out' 'dissemble'],valid
1502,masquerade,1,['masquerade'],valid
1503,master,2,"['control' 'overcome' 'subdue' 'get_over' 'get_the_hang' 'master'
 'dominate' 'surmount']",valid
1504,match,374,"['equalise' 'pit' 'fit' 'mate' 'pair' 'equalize' 'couple' 'cope_with'
 'match' 'gibe' 'rival' 'meet' 'correspond' 'play_off' 'check' 'tally'
 'touch' 'equate' 'twin' 'jibe' 'equal' 'oppose' 'agree']",valid
1505,materialize,1,['materialise' 'materialize' 'happen'],valid
1506,matsen,1,,invalid
1507,matter,6,['matter' 'count' 'weigh'],valid
1508,matthew,3,,invalid
1509,mature,10,['age' 'ripen' 'grow' 'senesce' 'maturate' 'mature' 'suppurate' 'get_on'],valid
1510,maxed,1,,invalid
1511,maximise,1,['maximise' 'maximize'],valid
1512,maximize,30,['maximise' 'maximize'],valid
1513,mb,2,,invalid
1514,mean,462,"['have_in_mind' 'imply' 'stand_for' 'think_of' 'think' 'entail' 'intend'
 'signify' 'mean']",valid
1515,meaningleveraging,1,,invalid
1516,measles,1,,invalid
1517,measure,710,"['evaluate' 'measure' 'assess' 'measure_out' 'valuate' 'appraise'
 'mensurate' 'quantify' 'value']",valid
1518,measurements,2,,invalid
1519,measurementsreporting,1,,invalid
1520,mechanism,2,,invalid
1521,med,17,,invalid
1522,medians,12,,invalid
1523,mediate,407,['intermediate' 'mediate' 'intercede' 'liaise' 'arbitrate'],valid
1524,medicaid,1,,invalid
1525,meet,114,"['fulfill' 'suffer' 'fill' 'assemble' 'fit' 'gather' 'foregather'
 'run_into' 'get_together' 'run_across' 'cope_with' 'satisfy' 'play'
 'contact' 'encounter' 'match' 'meet' 'forgather' 'adjoin' 'take_on'
 'converge' 'touch' 'see' 'fulfil' 'come_across' 'receive' 'conform_to']",valid
1526,megadose,1,,invalid
1527,meloxicam,2,,invalid
1528,memoryÃÂÂ,1,,invalid
1529,mention,13,"['remark' 'name' 'advert' 'cite' 'mention' 'observe' 'note' 'bring_up'
 'refer']",valid
1530,mentor,1,['mentor'],valid
1531,merge,3,"['commingle' 'fuse' 'unite' 'coalesce' 'combine' 'mix' 'conflate' 'unify'
 'flux' 'meld' 'merge' 'immix' 'blend']",valid
1532,message,3,['message'],valid
1533,method,1,,invalid
1534,methodsconsenting,1,,invalid
1535,methodsduring,1,,invalid
1536,methodsin,4,,invalid
1537,methodsleveraging,1,,invalid
1538,methodsusing,2,,invalid
1539,micro,4,,invalid
1540,microorganismsÃÂÂ,1,,invalid
1541,microsampling,2,,invalid
1542,middelares,1,,invalid
1543,midsize,1,,invalid
1544,midst,1,,invalid
1545,migraines,1,,invalid
1546,milder,7,,invalid
1547,mildmoderate,1,,invalid
1548,mildÃÂÂtoÃÂÂmoderate,1,,invalid
1549,mimic,6,['mime' 'mimic'],valid
1550,mine,2,['mine'],valid
1551,minimise,12,['downplay' 'minimise' 'minimize' 'understate'],valid
1552,minimize,33,"['minimise' 'minimize' 'denigrate' 'belittle' 'understate' 'derogate'
 'downplay']",valid
1553,mirror,8,['mirror'],valid
1554,misdiagnosed,1,,invalid
1555,misdirect,1,"['profane' 'lead_astray' 'pervert' 'corrupt' 'deprave' 'misaddress'
 'debase' 'misguide' 'demoralise' 'vitiate' 'subvert' 'debauch'
 'demoralize' 'misdirect' 'mislead']",valid
1556,misinterpret,1,"['misinterpret' 'misread' 'be_amiss' 'misapprehend' 'misconstrue'
 'misunderstand' 'misconceive']",valid
1557,mismatch,12,['mismatch'],valid
1558,miss,69,"['leave_out' 'escape' 'overleap' 'miss' 'lose' 'pretermit' 'drop'
 'neglect' 'omit' 'overlook' 'lack']",valid
1559,mistake,1,['slip' 'err' 'misidentify' 'mistake'],valid
1560,mit,8,,invalid
1561,mitigate,57,['mitigate' 'palliate' 'extenuate'],valid
1562,mix,14,"['combine' 'integrate' 'mingle' 'unify' 'flux' 'amalgamate' 'conflate'
 'mix' 'desegregate' 'mix_in' 'ruffle' 'merge' 'commingle' 'fuse'
 'coalesce' 'shuffle' 'meld' 'immix' 'commix' 'blend']",valid
1563,mobilize,5,['summon' 'circulate' 'mobilise' 'call_up' 'mobilize' 'marshal' 'rally'],valid
1564,model,37,"['posture' 'pattern' 'simulate' 'pose' 'mold' 'mock_up' 'sit' 'mould'
 'model']",valid
1565,modifieddiscontinued,1,,invalid
1566,modifiers,1,,invalid
1567,modifiying,1,,invalid
1568,modify,201,['qualify' 'alter' 'change' 'modify'],valid
1569,modulate,28,['regulate' 'inflect' 'tone' 'modulate'],valid
1570,mofetil,1,,invalid
1571,moi,2,,invalid
1572,mold,1,"['mildew' 'determine' 'influence' 'shape' 'mold' 'work' 'cast' 'forge'
 'mould' 'form' 'model' 'regulate']",valid
1573,monitor,277,['supervise' 'monitor'],valid
1574,monocytes,24,,invalid
1575,mortezavi,1,,invalid
1576,motivate,3,['prompt' 'incite' 'move' 'propel' 'motivate' 'actuate'],valid
1577,mount,69,"['rise' 'wax' 'bestride' 'climb_up' 'put_on' 'mount_up' 'climb' 'hop_on'
 'jump_on' 'go_up' 'mount' 'climb_on' 'get_on' 'ride']",valid
1578,mouse,1,['mouse' 'sneak' 'creep' 'pussyfoot'],valid
1579,move,19,"['prompt' 'incite' 'make_a_motion' 'move' 'proceed' 'impress' 'propel'
 'travel' 'strike' 'motivate' 'displace' 'be_active' 'go' 'affect' 'act'
 'locomote' 'actuate' 'run']",valid
1580,mrna,1,,invalid
1581,mrnaÃÂÂbased,7,,invalid
1582,mshs,1,,invalid
1583,mtf,5,,invalid
1584,muchÃÂÂneeded,1,,invalid
1585,multidose,2,,invalid
1586,multidrug,1,,invalid
1587,multilayered,1,,invalid
1588,multimodal,1,,invalid
1589,multiplexed,8,,invalid
1590,multiplexing,3,,invalid
1591,muoo,2,,invalid
1592,mutate,33,['mutate'],valid
1593,mykiss,1,,invalid
1594,n121,1,,invalid
1595,n1220,1,,invalid
1596,n23,5,,invalid
1597,n45,4,,invalid
1598,n49,2,,invalid
1599,n899,1,,invalid
1600,nab,2,['nab' 'nail' 'pick_up' 'arrest' 'apprehend' 'collar' 'cop'],valid
1601,naestved,1,,invalid
1602,name,23,"['nominate' 'appoint' 'discover' 'list' 'describe' 'diagnose' 'name'
 'cite' 'call' 'distinguish' 'refer' 'bring_up' 'constitute' 'make'
 'key_out' 'advert' 'mention' 'key' 'identify']",valid
1603,nanoparticleÃÂÂformulated,1,,invalid
1604,nanostring,3,,invalid
1605,narrow,3,"['contract' 'specify' 'peg_down' 'nail_down' 'specialise' 'constrict'
 'constringe' 'pin_down' 'specialize' 'narrow_down' 'narrow']",valid
1606,nas,1,,invalid
1607,nauseavomiting,2,,invalid
1608,navigate,1,['voyage' 'pilot' 'sail' 'navigate'],valid
1609,nct04352608,1,,invalid
1610,nct04681092funding,1,,invalid
1611,nct05072496funding,1,,invalid
1612,ndash,8,,invalid
1613,near,1,['come_near' 'draw_near' 'near' 'draw_close' 'go_up' 'approach' 'come_on'],valid
1614,nebulized,1,,invalid
1615,necessitate,9,"['call_for' 'postulate' 'need' 'necessitate' 'involve' 'ask' 'require'
 'take' 'demand']",valid
1616,necropsied,1,,invalid
1617,necrotizing,3,,invalid
1618,need,868,"['call_for' 'postulate' 'need' 'necessitate' 'involve' 'want' 'ask'
 'require' 'take' 'demand']",valid
1619,neededfunding,1,,invalid
1620,neglect,5,"['leave_out' 'ignore' 'overleap' 'drop' 'miss' 'pretermit' 'fail'
 'disregard' 'neglect' 'omit' 'overlook']",valid
1621,neonates,12,,invalid
1622,nest,30,['nestle' 'nuzzle' 'snuggle' 'cuddle' 'nest' 'draw_close'],valid
1623,neuroimaging,5,,invalid
1624,neutraling,1,,invalid
1625,neutralisating,1,,invalid
1626,neutralise,234,"['nullify' 'do_in' 'knock_off' 'neutralize' 'negate' 'liquidate' 'waste'
 'neutralise']",valid
1627,neutralize,1511,"['nullify' 'do_in' 'counterbalance' 'counteract' 'neutralize' 'negate'
 'knock_off' 'liquidate' 'waste' 'countervail' 'neutralise']",valid
1628,nh,1,,invalid
1629,nianiaid,1,,invalid
1630,nihniaid,5,,invalid
1631,nod,2,['nod'],valid
1632,nodule,1,,invalid
1633,nonadjuvanted,1,,invalid
1634,noncontrolled,1,,invalid
1635,nonhospitalized,3,,invalid
1636,nonimmunosuppressed,3,,invalid
1637,noninfected,3,,invalid
1638,nonneutralizing,3,,invalid
1639,nonrandomized,1,,invalid
1640,nonsmoking,1,,invalid
1641,nonstandardized,1,,invalid
1642,nontreated,1,,invalid
1643,nonvaccinated,11,,invalid
1644,nonÃÂinfected,1,,invalid
1645,nonÃÂÂresponding,1,,invalid
1646,nonÃÂÂvaccinated,2,,invalid
1647,normalise,4,['normalise' 'renormalize' 'normalize' 'renormalise'],valid
1648,normalize,11,['normalise' 'renormalize' 'renormalise' 'anneal' 'temper' 'normalize'],valid
1649,notch,1,['notch'],valid
1650,note,137,"['take_note' 'mention' 'observe' 'take_down' 'notice' 'note' 'mark'
 'remark']",valid
1651,notice,1,"['remark' 'acknowledge' 'point_out' 'discover' 'observe' 'comment'
 'notice' 'detect' 'mark' 'note' 'find']",valid
1652,notify,25,['apprize' 'give_notice' 'apprise' 'notify' 'send_word' 'advise'],valid
1653,novel,2,,invalid
1654,ns,6,,invalid
1655,nsaid,1,,invalid
1656,nt50s,4,,invalid
1657,nuanced,1,,invalid
1658,nucleic,4,,invalid
1659,nullify,1,"['avoid' 'nullify' 'neutralize' 'negate' 'void' 'quash' 'invalidate'
 'annul' 'neutralise']",valid
1660,number,2,"['come' 'amount' 'numerate' 'list' 'number' 'keep_down' 'add_up' 'count'
 'enumerate' 'total']",valid
1661,nur,2,,invalid
1662,nurse,1,"['wet-nurse' 'give_suck' 'suck' 'lactate' 'entertain' 'harbour' 'hold'
 'breastfeed' 'suckle' 'nurse' 'harbor']",valid
1663,nwl,1,,invalid
1664,object,1,['object'],valid
1665,objectify,1,"['externalize' 'depersonalise' 'exteriorise' 'exteriorize' 'depersonalize'
 'externalise' 'objectify']",valid
1666,objectivesestablishing,1,,invalid
1667,oblige,1,['bind' 'oblige' 'hold' 'obligate' 'compel' 'accommodate'],valid
1668,obscure,2,"['obliterate' 'hide' 'fog' 'confuse' 'becloud' 'blur' 'mist' 'bedim'
 'blot_out' 'obnubilate' 'veil' 'cloud' 'befog' 'overcloud' 'haze_over'
 'obscure']",valid
1669,observe,1173,"['keep' 'follow' 'honour' 'watch' 'discover' 'watch_over' 'maintain'
 'remark' 'abide_by' 'find' 'notice' 'note' 'take_note' 'honor' 'observe'
 'keep_an_eye_on' 'mention' 'detect' 'respect' 'celebrate']",valid
1670,observedexpected,1,,invalid
1671,observedÃÂÂtoÃÂÂexpected,1,,invalid
1672,obtain,410,['incur' 'prevail' 'receive' 'obtain' 'hold' 'find' 'get'],valid
1673,obviate,1,"['debar' 'avoid' 'eliminate' 'fend_off' 'forefend' 'forfend' 'ward_off'
 'avert' 'rid_of' 'head_off' 'obviate' 'stave_off' 'deflect']",valid
1674,occupy,3,"['engage' 'invade' 'worry' 'take' 'reside' 'fill' 'concern' 'busy'
 'interest' 'lodge_in' 'use_up' 'engross' 'absorb' 'occupy']",valid
1675,occur,842,"['come' 'come_about' 'pass_off' 'fall_out' 'happen' 'occur' 'go_on' 'pass'
 'hap' 'take_place']",valid
1676,ocopeptides,2,,invalid
1677,odds,1,,invalid
1678,oecd,1,,invalid
1679,oev,2,,invalid
1680,offer,209,"['tender' 'provide' 'bid' 'offer_up' 'pop_the_question' 'volunteer'
 'offer' 'put_up' 'proffer' 'declare_oneself' 'extend' 'propose']",valid
1681,offlabel,1,,invalid
1682,offset,2,['set_off' 'countervail' 'cancel' 'offset'],valid
1683,olmsted,1,,invalid
1684,omcl,1,,invalid
1685,omit,2,"['leave_out' 'exclude' 'except' 'leave_off' 'overleap' 'drop' 'take_out'
 'pretermit' 'miss' 'neglect' 'omit' 'overlook']",valid
1686,onset,2,,invalid
1687,open,9,['give' 'open_up' 'open' 'spread' 'afford' 'spread_out' 'unfold'],valid
1688,operate,40,"['engage' 'operate_on' 'lock' 'manoeuver' 'operate' 'work' 'manoeuvre'
 'function' 'maneuver' 'go' 'mesh' 'control' 'run']",valid
1689,oppose,1,"['counterbalance' 'pit' 'fight_back' 'contradict' 'fight' 'controvert'
 'oppose' 'fight_down' 'play_off' 'react' 'defend' 'match']",valid
1690,optimal,1,,invalid
1691,optimise,6,['optimize' 'optimise'],valid
1692,optimize,75,['optimize' 'optimise'],valid
1693,or105,1,,invalid
1694,or191,1,,invalid
1695,or203,2,,invalid
1696,order,7,"['prescribe' 'ordain' 'order' 'say' 'place' 'arrange' 'rate' 'regularise'
 'grade' 'govern' 'ordinate' 'range' 'regulate' 'consecrate' 'put'
 'set_up' 'dictate' 'rank' 'tell' 'enjoin' 'regularize']",valid
1697,ordinate,1,['align' 'ordain' 'order' 'coordinate' 'ordinate' 'consecrate'],valid
1698,organisationÃÂs,2,,invalid
1699,organize,5,"['engineer' 'mastermind' 'machinate' 'unionize' 'unionise' 'orchestrate'
 'devise' 'organise' 'coordinate' 'get_up' 'organize' 'prepare' 'form'
 'direct']",valid
1700,orient,7,['point' 'tailor' 'orientate' 'orient'],valid
1701,originate,16,"['develop' 'rise' 'spring_up' 'grow' 'originate' 'start' 'initiate'
 'arise' 'uprise']",valid
1702,orphan,2,['orphan'],valid
1703,oscillate,1,['vacillate' 'hover' 'oscillate' 'vibrate'],valid
1704,otus,2,,invalid
1705,outbreak,1,,invalid
1706,outcome,69,,invalid
1707,outcompete,2,,invalid
1708,outcompeted,5,,invalid
1709,outline,13,['delineate' 'outline' 'adumbrate' 'draft' 'limn' 'sketch'],valid
1710,outnumber,1,['outnumber'],valid
1711,outpace,1,['outpace'],valid
1712,outperform,4,"['outgo' 'outperform' 'exceed' 'outdo' 'outmatch' 'outstrip' 'surpass'
 'surmount']",valid
1713,outweigh,40,['outweigh' 'overbalance' 'outbalance' 'preponderate'],valid
1714,overall,1,,invalid
1715,overburden,1,['overburden'],valid
1716,overcome,50,"['defeat' 'overpower' 'get_the_best' 'overwhelm' 'overcome' 'whelm'
 'get_the_better_of' 'overtake' 'subdue' 'get_over' 'sweep_over' 'master'
 'have_the_best' 'surmount']",valid
1717,overemphasize,1,['overstress' 'overemphasise' 'overemphasize'],valid
1718,overestimate,9,['overrate' 'overestimate' 'overvalue'],valid
1719,overexpressing,3,,invalid
1720,overlap,43,['overlap'],valid
1721,overload,1,['overload' 'clog' 'overcharge' 'surcharge'],valid
1722,overlook,7,"['leave_out' 'look_across' 'command' 'overleap' 'look_out_over'
 'look_out_on' 'dominate' 'drop' 'miss' 'pretermit' 'overtop' 'neglect'
 'omit' 'overlook']",valid
1723,overreporting,1,,invalid
1724,overrepresented,8,,invalid
1725,oversee,1,['supervise' 'superintend' 'manage' 'oversee'],valid
1726,overtake,2,"['overpower' 'catch' 'overwhelm' 'whelm' 'catch_up_with' 'overtake'
 'overcome' 'overhaul' 'sweep_over' 'pass']",valid
1727,overweigh,1,,invalid
1728,overwhelm,6,"['overpower' 'submerge' 'overwhelm' 'overcome' 'whelm' 'overtake'
 'flood_out' 'drown' 'sweep_over' 'overmaster' 'deluge']",valid
1729,ovulate,1,['ovulate'],valid
1730,owe,21,['owe'],valid
1731,own,7,['possess' 'own' 'have'],valid
1732,p00000008,2,,invalid
1733,p0008,2,,invalid
1734,p001,2,,invalid
1735,p002,1,,invalid
1736,p0020,1,,invalid
1737,p003,3,,invalid
1738,p017,2,,invalid
1739,p06,4,,invalid
1740,p0877,2,,invalid
1741,p0ÃÂ20,1,,invalid
1742,p681h,3,,invalid
1743,pack,1,"['jam' 'tamp' 'tamp_down' 'pile' 'load_down' 'bundle' 'wad' 'pack'
 'backpack' 'carry' 'take' 'mob' 'compact' 'throng']",valid
1744,pain,6,['anguish' 'trouble' 'pain' 'hurt' 'ail'],valid
1745,painrednessswelling,2,,invalid
1746,pair,67,"['couple' 'copulate' 'geminate' 'twin' 'partner_off' 'pair' 'mate'
 'pair_off' 'match']",valid
1747,paived,15,,invalid
1748,pamps,1,,invalid
1749,parallel,1,['duplicate' 'collimate' 'parallel' 'twin'],valid
1750,parameterised,1,,invalid
1751,parasite,1,,invalid
1752,parasitized,1,,invalid
1753,partially-,4,,invalid
1754,participants,1,,invalid
1755,participantsfollowing,1,,invalid
1756,participantssixteen,1,,invalid
1757,participate,106,['enter' 'participate' 'take_part'],valid
1758,particulates,1,,invalid
1759,partition,5,['partition' 'zone' 'partition_off'],valid
1760,partner,2,['partner'],valid
1761,pass,25,"['guide' 'overtake' 'travel_by' 'go_across' 'make_pass' 'die' 'overhaul'
 'give' 'devolve' 'draw' 'make_it' 'fall' 'authorize' 'decease'
 'take_place' 'lead' 'slip_by' 'go_along' 'pass' 'reach' 'communicate'
 'fall_out' 'elapse' 'go' 'slip_away' 'go_past' 'conk' 'egest' 'excrete'
 'turn_over' 'put_across' 'surpass' 'exceed' 'pass_along' 'expire'
 'drop_dead' 'exit' 'kick_the_bucket' 'pass_away' 'croak' 'pass_off'
 'happen' 'legislate' 'go_on' 'occur' 'blow_over' 'snuff_it' 'lapse' 'run'
 'go_by' 'pass_by' 'evanesce' 'give-up_the_ghost' 'pass_on' 'hand'
 'return' 'fade' 'come_about' 'fleet' 'authorise' 'clear'
 ""cash_in_one's_chips"" 'top' 'choke' 'extend' 'eliminate' 'transcend'
 'glide_by' 'overstep' 'slide_by' 'buy_the_farm' 'spend' 'go_through'
 'sink' 'hap' 'perish' 'pop_off']",valid
1762,passaged,2,,invalid
1763,passaging,3,,invalid
1764,patenten,1,,invalid
1765,pathogens,71,,invalid
1766,patiend,1,,invalid
1767,patient-,1,,invalid
1768,patients,2,,invalid
1769,patientsÃÂÂ,13,,invalid
1770,patrick,2,,invalid
1771,paulo,10,,invalid
1772,pause,3,['pause' 'break' 'hesitate' 'intermit'],valid
1773,pave,4,['pave'],valid
1774,paxvax,1,,invalid
1775,pay,30,"['yield' 'pay' 'give' 'pay_off' 'make_up' 'compensate' 'ante_up' 'bear'
 'pay_up' 'devote']",valid
1776,pbl,1,,invalid
1777,pbls,2,,invalid
1778,pbmc,5,,invalid
1779,pcrconfirmed,1,,invalid
1780,pcrÃÂ,1,,invalid
1781,pdcov,2,,invalid
1782,pdose,4,,invalid
1783,peak,89,['peak' 'top_out'],valid
1784,ped,2,,invalid
1785,peglyated,1,,invalid
1786,pegylated,3,,invalid
1787,pegÃÂÂcontaining,2,,invalid
1788,peking,2,,invalid
1789,penalize,3,['penalize' 'punish' 'penalise'],valid
1790,pending,13,,invalid
1791,penetrate,5,"['diffuse' 'come_home' 'fall_into_place' 'infiltrate' 'sink_in'
 'get_across' 'penetrate' 'bottom' 'fathom' 'get_through' 'dawn'
 'interpenetrate' 'click' 'permeate' 'perforate' 'pervade' 'imbue'
 'riddle']",valid
1792,pepmixes,1,,invalid
1793,peptide,1,,invalid
1794,perceive,30,['perceive' 'comprehend'],valid
1795,perform,836,['perform' 'execute' 'do'],valid
1796,performedout,1,,invalid
1797,period,1,,invalid
1798,permanente,13,,invalid
1799,permeabilised,1,,invalid
1800,permit,15,['tolerate' 'allow' 'permit' 'let' 'countenance'],valid
1801,perpetuate,2,['perpetuate'],valid
1802,perry,1,,invalid
1803,persist,169,"['persist' 'hang_in' 'stay' 'hang_on' 'die_hard' 'prevail' 'hold_on'
 'persevere' 'remain' 'endure' 'run']",valid
1804,persistent,1,,invalid
1805,personalize,17,['individualise' 'individualize' 'personalize' 'personalise'],valid
1806,persuade,2,['persuade' 'sway' 'carry'],valid
1807,pertain,11,"['have-to_doe_with' 'bear_on' 'touch' 'touch_on' 'concern' 'come_to'
 'appertain' 'refer' 'pertain' 'relate']",valid
1808,pertinent,1,,invalid
1809,perturb,2,"['unhinge' 'disquiet' 'cark' 'throw_out_of_kilter' 'distract' 'trouble'
 'disorder' 'perturb' 'derange']",valid
1810,pes,3,,invalid
1811,petcomputed,1,,invalid
1812,petits,1,,invalid
1813,pharmd,2,,invalid
1814,pharming,1,,invalid
1815,phase,6,['phase'],valid
1816,phcws,1,,invalid
1817,phd,1,,invalid
1818,phenotyped,2,,invalid
1819,phenotyping,10,,invalid
1820,pheukhsa,1,,invalid
1821,phlebotomize,1,['phlebotomise' 'phlebotomize' 'leech' 'bleed'],valid
1822,phsophate,1,,invalid
1823,phuentsholing,2,,invalid
1824,pick,2,"['pluck' 'clean' 'nibble' 'cull' 'find_fault' 'pick' 'peck' 'break_up'
 'foot' 'piece' 'beak' 'plunk' 'blame']",valid
1825,pickering,2,,invalid
1826,pigment,1,['pigment'],valid
1827,pillar,3,,invalid
1828,pinpoint,1,['nail' 'pinpoint'],valid
1829,pioneer,3,['initiate' 'open_up' 'pioneer'],valid
1830,pit,2,['pit' 'play_off' 'oppose' 'match' 'mark' 'pock' 'stone' 'scar'],valid
1831,pkdl,5,,invalid
